,tconst,primary_title,original_title,start_year,runtime_minutes,genres,country,budget,ww_gross,ww_currency,domestic_gross_x,domestic_currency,int_gross,int_currency,release_date_x,mpaa_rating,tmdb_id
133,tt0972816,Have You Heard from Johannesburg: The Bottom Line,Have You Heard from Johannesburg: The Bottom Line,2010,86.0,Documentary,US,,,,,,,,2010-04-14,,46678.0
134,tt0974584,Black Limousine,The Land of the Astronauts,2010,102.0,Drama,US,"{'amount': 2000000.0, 'currency': 'USD'}",,,,,,,2010-10-19,R,119261.0
135,tt0975738,Sinatra Club,Sinatra Club,2010,88.0,"Action,Biography,Crime",US,"{'amount': 2500000.0, 'currency': 'USD'}",,,,,,,2010-09,Not Rated,67189.0
136,tt0977639,Boyle Heights,Boyle Heights,2010,101.0,Action,US,"{'amount': 2000000.0, 'currency': 'USD'}",,,,,,,2011,,
137,tt0977855,Fair Game,Fair Game,2010,108.0,"Biography,Drama,Thriller",US,"{'amount': 22000000, 'currency': 'USD'}",25806953.0,USD,9540691.0,USD,16266262.0,USD,2010-12-03,PG-13,
138,tt0978812,Have You Heard from Johannesburg: Free at Last,Have You Heard from Johannesburg: Free at Last,2010,78.0,Documentary,US,,,,,,,,2010-04-14,,46676.0
139,tt0979434,Lottery Ticket,Lottery Ticket,2010,99.0,Comedy,US,"{'amount': 17000000, 'currency': 'USD'}",24719879.0,USD,24719879.0,USD,,,2010-08-20,PG-13,41382.0
140,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",US,"{'amount': 155000000, 'currency': 'USD'}",415686217.0,USD,104386950.0,USD,311299267.0,USD,2010-12-10,PG,
141,tt0981013,Heredity,Heredity,2010,,"Horror,Thriller",US,"{'amount': 150000.0, 'currency': 'USD'}",,,,,,,2010-12-31,,
142,tt0984113,A Dance for Grace,A Dance for Grace,2010,,Drama,US,"{'amount': 500000.0, 'currency': 'USD'}",,,,,,,,,
143,tt0984210,Multiple Sarcasms,Multiple Sarcasms,2010,97.0,Drama,US,"{'amount': 2500000.0, 'currency': 'USD'}",29731.0,USD,29731.0,USD,,,2010-04-08,R,39042.0
144,tt0985694,Machete,Machete,2010,105.0,"Action,Crime,Thriller",US,"{'amount': 10500000, 'currency': 'USD'}",45491656.0,USD,26593646.0,USD,18898010.0,USD,2010-09-03,R,
145,tt0988858,The Gainesville Ripper,The Gainesville Ripper,2010,90.0,Horror,US,"{'amount': 750000.0, 'currency': 'USD'}",,,,,,,2010-06-01,,579662.0
146,tt0989757,Dear John,Dear John,2010,108.0,"Drama,Romance,War",US,"{'amount': 25000000, 'currency': 'USD'}",114984666.0,USD,80014842.0,USD,34969824.0,USD,2010-02-05,PG-13,
147,tt0990363,Detention,Detention,2010,81.0,"Horror,Thriller",US,"{'amount': 2150000.0, 'currency': 'USD'}",$0,,$0,,,,2010-01-15,,108993.0
148,tt0994917,Adventure Scouts,Adventure Scouts,2010,83.0,"Action,Adventure,Comedy",US,"{'amount': 500000.0, 'currency': 'USD'}",,,,,,,2010-10-02,Not Rated,206749.0
