,tconst,original_title,start_year,runtime_minutes,genres,budget,ww_gross,mpaa_rating,month
1869,tt2290113,Along the Roadside,2013,108.0,"Comedy,Music,Romance","{'amount': 250000.0, 'currency': 'USD'}",4586.0,Not Rated,3.0
1870,tt2290151,Big Star: Nothing Can Hurt Me,2012,113.0,"Documentary,Music",,105998.0,PG-13,3.0
1871,tt2290739,Where the Devil Hides,2014,86.0,"Horror,Thriller","{'amount': 7000000.0, 'currency': 'USD'}",1428494.0,PG-13,10.0
1872,tt2291540,My Friend Dahmer,2017,107.0,"Biography,Drama,Horror",,1436751.0,R,4.0
1873,tt2292903,Rubberneck,2012,83.0,"Drama,Thriller",,2075.0,Not Rated,2.0
1874,tt2292959,The Canyons,2013,99.0,"Drama,Thriller","{'amount': 250000.0, 'currency': 'USD'}",270185.0,R,8.0
1875,tt2293060,Americons,2017,89.0,"Action,Biography,Crime","{'amount': 1250000.0, 'currency': 'USD'}",28782.0,R,1.0
1876,tt2293640,Minions,2015,91.0,"Adventure,Animation,Comedy","{'amount': 74000000, 'currency': 'USD'}",1159444662.0,PG,7.0
1877,tt2294449,22 Jump Street,2014,112.0,"Action,Comedy,Crime","{'amount': 50000000, 'currency': 'USD'}",331333876.0,R,6.0
1878,tt2294629,Frozen,2013,102.0,"Adventure,Animation,Comedy","{'amount': 150000000, 'currency': 'USD'}",1281508100.0,PG,11.0
1879,tt2294677,In a World...,2013,93.0,Comedy,1000000.0,3114953.0,R,1.0
1880,tt2294679,Informant,2012,81.0,Documentary,,10068.0,Unrated,9.0
1881,tt2294729,Mansome,2012,82.0,Documentary,,36280.0,PG-13,4.0
1882,tt2294965,Zero Charisma,2013,86.0,"Comedy,Drama",,9417.0,Not Rated,10.0
1883,tt2295564,McCanick,2013,96.0,"Crime,Drama,Mystery",,2572.0,R,3.0
1884,tt2295722,Falcon Rising,2014,103.0,"Action,Adventure","{'amount': 4500000.0, 'currency': 'USD'}",267476.0,R,9.0
1885,tt2296697,Concussion,2013,96.0,Drama,,78957.0,R,1.0
1886,tt2298394,Free the Nipple,2014,78.0,"Comedy,Drama","{'amount': 937000.0, 'currency': 'USD'}",4198.0,Unrated,12.0
1887,tt2300975,Jessabelle,2014,90.0,"Horror,Thriller",1000000.0,6998359.0,PG-13,11.0
1888,tt2302755,Olympus Has Fallen,2013,119.0,"Action,Thriller","{'amount': 70000000, 'currency': 'USD'}",170270201.0,R,3.0
1889,tt2304459,23 Blast,2014,98.0,"Drama,Family,Sport","{'amount': 1000000.0, 'currency': 'USD'}",549185.0,PG-13,10.0
1890,tt2304485,Art Is... The Permanent Revolution,2012,82.0,Documentary,,4291.0,Not Rated,3.0
